,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,dt
63,690.0,SIDUSSIDUS,SIDUS,"$17,265,236.16",$0.003044,"5,672,144,253 SIDUS *","$12,925,370.71",0.16%,16.81%,70.46%,20230226
64,344.0,KEYSelfKey,KEY,"$72,969,453.78",$0.01375,"5,304,969,446 KEY *","$53,747,662.82",2.98%,10.72%,49.99%,20230226
65,419.0,LINALinear Finance,LINA,"$54,391,160.80",$0.01138,"4,779,595,446 LINA *","$21,528,250.57",0.65%,-2.29%,38.44%,20230226
66,115.0,YFIyearn.finance,YFI,"$363,018,098.55","$9,908.32","36,638 YFI *","$106,999,798.87",0.49%,4.61%,33.80%,20230226
67,97.0,ANKRAnkr,ANKR,"$416,201,581.72",$0.04307,"9,662,899,378 ANKR *","$199,841,791.09",1.30%,5.68%,33.14%,20230226
68,93.0,SSVssv.network,SSV,"$447,015,683.00",$44.70,"10,000,000 SSV","$48,055,525.65",1.47%,11.70%,31.44%,20230226
69,167.0,ACHAlchemy Pay,ACH,"$200,428,769.34",$0.03944,"5,082,155,932 ACH","$68,978,180.13",2.54%,0.50%,31.02%,20230226
70,365.0,PERPPerpetual Protocol,PERP,"$66,668,120.29",$1.0101,"66,002,157 PERP *","$24,273,129.51",0.10%,-2.41%,28.77%,20230226
71,445.0,HUNTHUNT,HUNT,"$49,082,631.15",$0.4448,"110,357,399 HUNT","$80,627,137.40",0.36%,-4.27%,27.37%,20230226
72,52.0,STXStacks,STX,"$1,065,151,467.28",$0.7822,"1,361,678,410 STX","$186,622,223.01",1.11%,2.12%,21.49%,20230226
73,146.0,AMPAmp,AMP,"$247,597,184.53",$0.005863,"42,227,702,186 AMP","$22,160,041.68",0.19%,-3.63%,20.97%,20230226
74,58.0,NEONeo,NEO,"$881,977,124.40",$12.50,"70,538,831 NEO *","$170,973,955.99",0.19%,9.74%,20.15%,20230226
75,447.0,FISStaFi,FIS,"$47,936,932.14",$0.793,"60,452,000 FIS *","$34,404,230.59",-2.16%,8.02%,18.67%,20230226
76,182.0,ELFaelf,ELF,"$159,451,100.62",$0.2828,"563,877,129 ELF *","$37,195,287.03",0.51%,-3.69%,17.42%,20230226
77,614.0,AKROAkropolis,AKRO,"$24,950,602.17",$0.005952,"4,191,906,097 AKRO *","$43,525,230.61",0.15%,28.90%,17.27%,20230226
78,94.0,BONEBone ShibaSwap,BONE,"$444,539,371.28",$1.9334,"229,928,436 BONE *","$17,155,544.85",0.00%,5.93%,17.11%,20230226
79,72.0,OPOptimism,OP,"$707,243,378.07",$3.0128,"234,748,364 OP *","$435,361,945.11",1.67%,9.31%,16.97%,20230226
80,91.0,CFXConflux,CFX,"$473,209,630.12",$0.2263,"2,090,735,404 CFX","$487,420,358.04",6.20%,45.69%,316.34%,20230219
81,231.0,COCOSCocos-BCX,COCOS,"$156,829,411.81",$2.2073,"71,051,748 COCOS *","$708,234,000.29",5.53%,20.76%,214.66%,20230219
82,528.0,VELOVelo,VELO,"$33,679,575.28",$0.006757,"4,984,154,058 VELO","$41,392,597.77",-4.75%,-15.74%,164.84%,20230219
83,380.0,XMONXMON,XMON,"$58,254,883.45","$38,968.62","1,495 XMON *","$21,982,617.03",2.01%,62.38%,140.93%,20230219
84,56.0,STXStacks,STX,"$876,235,351.36",$0.6439,"1,360,872,573 STX","$449,432,083.25",18.22%,68.64%,118.12%,20230219
85,415.0,KEYSelfKey,KEY,"$48,649,675.15",$0.009171,"5,304,969,446 KEY *","$106,478,379.18",8.85%,78.31%,116.36%,20230219
86,216.0,FLOKIFLOKI,FLOKI,"$423,486,084.53",$0.00004749,"8,917,452,316,422 FLOKI *","$66,188,109.21",-4.25%,-6.73%,108.14%,20230219
87,182.0,ACHAlchemy Pay,ACH,"$152,971,814.77",$0.0301,"5,082,155,932 ACH","$190,380,097.02",-0.97%,31.64%,91.59%,20230219
88,214.0,WEMIXWEMIX,WEMIX,"$476,176,928.42",$1.9447,"244,854,605 WEMIX *","$10,791,510.73",-0.92%,3.72%,82.63%,20230219
89,615.0,OAXOAX,OAX,"$22,774,299.13",$0.2956,"77,045,251 OAX *","$10,805,215.58",3.55%,37.28%,80.88%,20230219
90,413.0,QUICKQuickSwap,QUICK,"$52,479,259.48",$102.10,"513,997 QUICK *","$188,667,179.03",-4.70%,53.73%,79.80%,20230219
91,340.0,TRUTrueFi,TRU,"$73,269,154.99",$0.07491,"978,129,861 TRU *","$21,650,351.58",-0.67%,-5.08%,76.77%,20230219
92,22.0,FILFilecoin,FIL,"$3,285,652,687.38",$8.4353,"389,513,726 FIL","$1,727,690,436.96",-3.89%,12.26%,71.46%,20230219
93,272.0,MTLMetal DAO,MTL,"$108,853,248.95",$1.6347,"66,588,888 MTL *","$221,634,537.49",-2.97%,34.00%,62.73%,20230219
94,571.0,DREPDrep [new],DREP,"$28,400,541.31",$0.5827,"48,737,500 DREP *","$49,651,435.65",-1.11%,-5.82%,61.91%,20230219
95,628.0,SOLVESOLVE,SOLVE,"$22,672,082.98",$0.04701,"482,324,963 SOLVE *","$40,520,523.04",-0.33%,37.71%,56.08%,20230219
96,244.0,DENTDent,DENT,"$131,271,149.08",$0.001326,"99,007,791,203 DENT *","$102,879,033.97",-5.07%,19.44%,50.94%,20230219
97,185.0,HFTHashflow,HFT,"$153,331,254.77",$0.8222,"186,495,342 HFT *","$119,413,250.71",-0.24%,1.31%,48.63%,20230219
98,170.0,STGStargate Finance,STG,"$180,608,639.99",$1.1406,"158,350,409 STG *","$63,113,485.64",-0.83%,-8.10%,44.98%,20230219
99,60.0,KLAYKlaytn,KLAY,"$855,631,127.77",$0.276,"3,100,113,881 KLAY *","$196,874,413.79",-4.17%,2.33%,42.99%,20230219
100,239.0,GFTGifto,GFT,"$118,851,908.84",$0.1189,"999,271,532 GFT *","$95,733,380.22",-2.60%,-12.49%,270.46%,20230212
101,578.0,DNTdistrict0x,DNT,"$24,851,559.95",$0.04142,"600,000,000 DNT *","$12,840,709.43",2.46%,2.86%,79.36%,20230212
